country_iso3,hs_code,name_ko,mfn_rate_display
BGD,02075410,--- 최대 2.5kg까지 포장/통조림,25%
BGD,02075490,--- 기타,25%
BGD,02075510,--- 최대 2.5kg까지 포장/통조림,25%
BGD,02075590,--- 기타,25%
BGD,02076010,--- 최대 2.5kg까지 포장/통조림,25%
BGD,02076090,--- 기타,25%
BGD,02081010,--- 최대 2.5kg까지 포장/통조림,25%
BGD,02081090,--- 기타,25%
BGD,02083010,--- 최대 2.5kg까지 포장/통조림,25%
BGD,02083090,--- 기타,25%
BGD,02084010,--- 최대 2.5kg까지 포장/통조림,25%
BGD,02084090,--- 기타,25%
BGD,02085010,--- 최대 2.5kg까지 포장/통조림,25%
BGD,02085090,--- 기타,25%
BGD,02086010,--- 최대 2.5kg까지 포장/통조림,25%
BGD,02086090,--- 기타,25%
BGD,02089010,--- 최대 2.5kg까지 포장/통조림,25%
BGD,02089090,--- 기타,25%
BGD,02091010,--- 최대 2.5kg까지 포장/통조림,25%
BGD,02091090,--- 기타,25%
BGD,02099010,--- 최대 2.5kg까지 포장/통조림,25%
BGD,02099090,--- 기타,25%
BGD,02101110,--- 최대 2.5kg까지 포장/통조림,25%
BGD,02101190,--- 기타,25%
BGD,02101210,--- 최대 2.5kg까지 포장/통조림,25%
BGD,02101290,--- 기타,25%
BGD,02101910,--- 최대 2.5kg까지 포장/통조림,25%
BGD,02101990,--- 기타,25%
BGD,02102010,--- 최대 2.5kg까지 포장/통조림,25%
BGD,02102090,--- 기타,25%
BGD,02109110,--- 최대 2.5kg까지 포장/통조림,25%
BGD,02109190,--- 기타,25%
BGD,02109210,--- 최대 2.5kg까지 포장/통조림,25%
BGD,02109290,--- 기타,25%
BGD,02109310,--- 최대 2.5kg까지 포장/통조림,25%
BGD,02109390,--- 기타,25%
BGD,02109910,--- 최대 2.5kg까지 포장/통조림,25%
BGD,02109990,--- 기타,25%
BGD,03011100,-- 민물의 것,25%
BGD,03011900,-- 기타,25%
BGD,03019110,--- 튀김,0%
BGD,03019190,--- 기타,25%
BGD,03019210,--- 튀김,0%
BGD,03019290,--- 기타,25%
BGD,03019310,--- 튀김,0%
BGD,03019390,--- 기타,25%
BGD,03019410,--- 튀김,0%
BGD,03019490,--- 기타,25%
BGD,03019510,--- 튀김,0%
BGD,03019590,--- 기타,25%
BGD,03019910,--- 튀김,0%
BGD,03019990,--- 기타,25%
BGD,03021110,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03021190,--- 기타,25%
BGD,03021310,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03021390,--- 기타,25%
BGD,03021410,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03021490,--- 기타,25%
BGD,03021910,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03021990,--- 기타,25%
BGD,03022110,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03022190,--- 기타,25%
BGD,03022210,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03022290,--- 기타,25%
BGD,03022310,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03022390,--- 기타,25%
BGD,03022410,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03022490,--- 기타,25%
BGD,03022910,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03022990,--- 기타,25%
BGD,03023110,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03023190,--- 기타,25%
BGD,03023210,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03023290,--- 기타,25%
BGD,03023310,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03023390,--- 기타,25%
BGD,03023410,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03023490,--- 기타,25%
BGD,03023510,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03023590,--- 기타,25%
BGD,03023610,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03023690,--- 기타,25%
BGD,03023910,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03023990,--- 기타,25%
BGD,03024110,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03024190,--- 기타,25%
BGD,03024210,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03024290,--- 기타,25%
BGD,03024310,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03024390,--- 기타,25%
BGD,03024410,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03024490,--- 기타,25%
BGD,03024510,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03024590,--- 기타,25%
BGD,03024610,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03024690,--- 기타,25%
BGD,03024710,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03024790,--- 기타,25%
BGD,03024910,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03024990,--- 기타,25%
BGD,03025110,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03025190,--- 기타,25%
BGD,03025210,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03025290,--- 기타,25%
BGD,03025310,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03025390,--- 기타,25%
BGD,03025410,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03025490,--- 기타,25%
BGD,03025510,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03025590,--- 기타,25%
BGD,03025610,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03025690,--- 기타,25%
BGD,03025910,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03025990,--- 기타,25%
BGD,03027110,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03027190,--- 기타,25%
BGD,03027210,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03027290,--- 기타,25%
BGD,03027310,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03027390,--- 기타,25%
BGD,03027410,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03027490,--- 기타,25%
BGD,03027910,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03027990,--- 기타,25%
BGD,03028110,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03028190,--- 기타,25%
BGD,03028210,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03028290,--- 기타,25%
BGD,03028310,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03028390,--- 기타,25%
BGD,03028410,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03028490,--- 기타,25%
BGD,03028510,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03028590,--- 기타,25%
BGD,03028911,---- 최대 2.5kg까지 포장/통조림,25%
BGD,03028919,---- 기타,25%
BGD,03028991,---- 최대 2.5kg까지 포장/통조림,25%
BGD,03028999,---- 기타,25%
BGD,03029110,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03029190,--- 기타,25%
BGD,03029210,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03029290,--- 기타,25%
BGD,03029910,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03029990,--- 기타,25%
BGD,03031110,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03031190,--- 기타,25%
BGD,03031210,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03031290,--- 기타,25%
BGD,03031310,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03031390,--- 기타,25%
BGD,03031410,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03031490,--- 기타,25%
BGD,03031910,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03031990,--- 기타,25%
BGD,03032310,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03032390,--- 기타,25%
BGD,03032410,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03032490,--- 기타,25%
BGD,03032510,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03032590,--- 기타,25%
BGD,03032610,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03032690,--- 기타,25%
BGD,03032910,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03032990,--- 기타,25%
BGD,03033110,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03033190,--- 기타,25%
BGD,03033210,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03033290,--- 기타,25%
BGD,03033310,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03033390,--- 기타,25%
BGD,03033410,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03033490,--- 기타,25%
BGD,03033910,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03033990,--- 기타,25%
BGD,03034110,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03034190,--- 기타,25%
BGD,03034210,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03034290,--- 기타,25%
BGD,03034310,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03034390,--- 기타,25%
BGD,03034410,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03034490,--- 기타,25%
BGD,03034510,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03034590,--- 기타,25%
BGD,03034610,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03034690,--- 기타,25%
BGD,03034910,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03034990,--- 기타,25%
BGD,03035110,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03035190,--- 기타,25%
BGD,03035310,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03035390,--- 기타,25%
BGD,03035410,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03035490,--- 기타,25%
BGD,03035510,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03035590,--- 기타,25%
BGD,03035610,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03035690,--- 기타,25%
BGD,03035710,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03035790,--- 기타,25%
BGD,03035910,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03035990,--- 기타,25%
BGD,03036310,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03036390,--- 기타,25%
BGD,03036410,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03036490,--- 기타,25%
BGD,03036510,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03036590,--- 기타,25%
BGD,03036610,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03036690,--- 기타,25%
BGD,03036710,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03036790,--- 기타,25%
BGD,03036810,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03036890,--- 기타,25%
BGD,03036910,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03036990,--- 기타,25%
BGD,03038110,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03038190,--- 기타,25%
BGD,03038210,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03038290,--- 기타,25%
BGD,03038310,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03038390,--- 기타,25%
BGD,03038410,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03038490,--- 기타,25%
BGD,03038910,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03038990,--- 기타,25%
BGD,03039110,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03039190,--- 기타,25%
BGD,03039210,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03039290,--- 기타,25%
BGD,03039910,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03039990,--- 기타,25%
BGD,03043110,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03043190,--- 기타,25%
BGD,03043210,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03043290,--- 기타,25%
BGD,03043310,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03043390,--- 기타,25%
BGD,03043910,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03043990,--- 기타,25%
BGD,03044110,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03044190,--- 기타,25%
BGD,03044210,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03044290,--- 기타,25%
BGD,03044310,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03044390,--- 기타,25%
BGD,03044410,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03044490,--- 기타,25%
BGD,03044510,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03044590,--- 기타,25%
BGD,03044610,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03044690,--- 기타,25%
BGD,03044710,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03044790,--- 기타,25%
BGD,03044810,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03044890,--- 기타,25%
BGD,03044910,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03044990,--- 기타,25%
BGD,03045110,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03045190,--- 기타,25%
BGD,03045210,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03045290,--- 기타,25%
BGD,03045310,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03045390,--- 기타,25%
BGD,03045410,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03045490,--- 기타,25%
BGD,03045510,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03045590,--- 기타,25%
BGD,03045610,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03045690,--- 기타,25%
BGD,03045710,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03045790,--- 기타,25%
BGD,03045910,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03045990,--- 기타,25%
BGD,03046110,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03046190,--- 기타,25%
BGD,03046210,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03046290,--- 기타,25%
BGD,03046310,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03046390,--- 기타,25%
BGD,03046910,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03046990,--- 기타,25%
BGD,03047110,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03047190,--- 기타,25%
BGD,03047210,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03047290,--- 기타,25%
BGD,03047310,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03047390,--- 기타,25%
BGD,03047410,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03047490,--- 기타,25%
BGD,03047510,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03047590,--- 기타,25%
BGD,03047910,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03047990,--- 기타,25%
BGD,03048110,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03048190,--- 기타,25%
BGD,03048210,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03048290,--- 기타,25%
BGD,03048310,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03048390,--- 기타,25%
BGD,03048410,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03048490,--- 기타,25%
BGD,03048510,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03048590,--- 기타,25%
BGD,03048610,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03048690,--- 기타,25%
BGD,03048710,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03048790,--- 기타,25%
BGD,03048810,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03048890,--- 기타,25%
BGD,03048910,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03048990,--- 기타,25%
BGD,03049110,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03049190,--- 기타,25%
BGD,03049210,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03049290,--- 기타,25%
BGD,03049310,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03049390,--- 기타,25%
BGD,03049410,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03049490,--- 기타,25%
BGD,03049510,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03049590,--- 기타,25%
BGD,03049610,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03049690,--- 기타,25%
BGD,03049710,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03049790,--- 기타,25%
BGD,03049910,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03049990,--- 기타,25%
BGD,03052010,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03052090,--- 기타,25%
BGD,03053110,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03053190,--- 기타,25%
BGD,03053210,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03053290,--- 기타,25%
BGD,03053910,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03053990,--- 기타,25%
BGD,03054110,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03054190,--- 기타,25%
BGD,03054210,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03054290,--- 기타,25%
BGD,03054310,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03054390,--- 기타,25%
BGD,03054410,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03054490,--- 기타,25%
BGD,03054910,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03054990,--- 기타,25%
BGD,03055110,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03055190,--- 기타,25%
BGD,03055210,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03055290,--- 기타,25%
BGD,03055310,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03055390,--- 기타,25%
BGD,03055410,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03055490,--- 기타,25%
BGD,03055910,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03055990,--- 기타,25%
BGD,03056110,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03056190,--- 기타,25%
BGD,03056210,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03056290,--- 기타,25%
BGD,03056310,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03056390,--- 기타,25%
BGD,03056410,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03056490,--- 기타,25%
BGD,03056910,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03056990,--- 기타,25%
BGD,03057110,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03057190,--- 기타,25%
BGD,03057210,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03057290,--- 기타,25%
BGD,03057910,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03057990,--- 기타,25%
BGD,03061100,-- 닭새우류[팔리누루스(Palinurus)속ㆍ파누리루스(Panulirus)속ㆍ자수스(Jasus)속],25%
BGD,03061200,-- 바닷가재[호마루스(Homarus)속],25%
BGD,03061400,-- 게,25%
BGD,03061500,-- 노르웨이 바닷가재[네프로프스 노르베지쿠스(Nephrops norvegicus)],25%
BGD,03061600,-- 냉수성(冷水性) 새우류[판달러스(Pandalus)속ㆍ크란곤 크란곤(Crangon crangon)],25%
BGD,03061700,-- 그 밖의 새우류,25%
BGD,03061900,-- 기타,25%
BGD,03063110,--- 튀김,0%
BGD,03063190,--- 기타,25%
BGD,03063210,--- 튀김,0%
BGD,03063290,--- 기타,25%
BGD,03063310,--- 튀김,0%
BGD,03063390,--- 기타,25%
BGD,03063410,--- 튀김,0%
BGD,03063490,--- 기타,25%
BGD,03063510,--- 튀김,0%
BGD,03063590,--- 기타,25%
BGD,03063610,--- 튀김,0%
BGD,03063690,--- 기타,25%
BGD,03063910,--- 튀김,0%
BGD,03063990,--- 기타,25%
BGD,03069110,--- 튀김,0%
BGD,03069190,--- 기타,25%
BGD,03069210,--- 튀김,0%
BGD,03069290,--- 기타,25%
BGD,03069310,--- 튀김,0%
BGD,03069390,--- 기타,25%
BGD,03069410,--- 튀김,0%
BGD,03069490,--- 기타,25%
BGD,03069510,--- 튀김,0%
BGD,03069590,--- 기타,25%
BGD,03069910,--- 튀김,0%
BGD,03069990,--- 기타,25%
BGD,03071110,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03071190,--- 기타,25%
BGD,03071210,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03071290,--- 기타,25%
BGD,03071910,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03071990,--- 기타,25%
BGD,03072110,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03072190,--- 기타,25%
BGD,03072210,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03072290,--- 기타,25%
BGD,03072910,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03072990,--- 기타,25%
BGD,03073110,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03073190,--- 기타,25%
BGD,03073210,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03073290,--- 기타,25%
BGD,03073910,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03073990,--- 기타,25%
BGD,03074210,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03074290,--- 기타,25%
BGD,03074310,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03074390,--- 기타,25%
BGD,03074910,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03074990,--- 기타,25%
BGD,03075110,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03075190,--- 기타,25%
BGD,03075210,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03075290,--- 기타,25%
BGD,03075910,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03075990,--- 기타,25%
BGD,03076010,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03076090,--- 기타,25%
BGD,03077110,--- 최대 2.5kg까지 포장/통조림,25%
BGD,03077190,--- 기타,25%
BGD,03077210,--- 최대 2.5kg까지 포장/통조림,25%
